symbol,company_name,sector,market_cap,headquarters,exchange,currency
NFLX,Netflix,Communication Services,,"Los Gatos, California",NYSE,USD
NI,NiSource,Utilities,,"Merrillville, Indiana",NYSE,USD
NKE,"Nike,",Consumer Discretionary,,"Washington County, Oregon",NYSE,USD
NOC,Northrop Grumman,Industrial,,"West Falls Church, Virginia",NYSE,USD
NOW,ServiceNow,Technology,,"Santa Clara, California",NYSE,USD
NRG,NRG Energy,Utilities,,"Houston, Texas",NYSE,USD
NSC,Norfolk Southern,Industrial,,"Atlanta, Georgia",NYSE,USD
NTAP,NetApp,Technology,,"San Jose, California",NYSE,USD
NTRS,Northern Trust,Financial,,"Chicago, Illinois",NYSE,USD
NUE,Nucor,Materials,,"Charlotte, North Carolina",NYSE,USD
NVDA,Nvidia,Technology,,"Santa Clara, California",NASDAQ,USD
NVR,"NVR,",Consumer Discretionary,,"Reston, Virginia",NYSE,USD
NWS,News Corp (Class B),Communication Services,,"New York City, New York",NYSE,USD
NWSA,News Corp (Class A),Communication Services,,"New York City, New York",NYSE,USD
NXPI,NXP Semiconductors,Technology,,"Eindhoven, Netherlands",NYSE,USD
O,Realty Income,Real Estate,,"San Diego, California",NYSE,USD
ODFL,Old Dominion,Industrial,,"Thomasville, North Carolina",NYSE,USD
OKE,Oneok,Energy,,"Tulsa, Oklahoma",NYSE,USD
OMC,Omnicom Group,Communication Services,,"New York City, New York",NYSE,USD
ON,ON Semiconductor,Technology,,"Phoenix, Arizona",NYSE,USD
ORCL,Oracle,Technology,,"Austin, Texas",NYSE,USD
ORLY,O’Reilly Automotive,Consumer Discretionary,,"Springfield, Missouri",NYSE,USD
OTIS,Otis Worldwide,Industrial,,"Farmington, Connecticut",NYSE,USD
OXY,Occidental Petroleum,Energy,,"Houston, Texas",NYSE,USD
PANW,Palo Alto Networks,Technology,,"Santa Clara, California",NYSE,USD
PAYC,Paycom,Industrial,,"Oklahoma City, Oklahoma",NYSE,USD
PAYX,Paychex,Industrial,,"Penfield, New York",NYSE,USD
PCAR,Paccar,Industrial,,"Bellevue, Washington",NYSE,USD
PCG,PG&E,Utilities,,"Oakland, California",NYSE,USD
PEG,Public Service Enterprise Group,Utilities,,"Newark, New Jersey",NYSE,USD
PEP,PepsiCo,Consumer Staples,,"Purchase, New York",NYSE,USD
PFE,Pfizer,Healthcare,,"New York City, New York",NYSE,USD
PFG,Principal Financial Group,Financial,,"Des Moines, Iowa",NYSE,USD
PG,Procter & Gamble,Consumer Staples,,"Cincinnati, Ohio",NYSE,USD
PGR,Progressive,Financial,,"Mayfield Village, Ohio",NYSE,USD
PH,Parker Hannifin,Industrial,,"Cleveland, Ohio",NYSE,USD
PHM,PulteGroup,Consumer Discretionary,,"Atlanta, Georgia",NYSE,USD
PKG,Packaging Corporation of America,Materials,,"Lake Forest, Illinois",NYSE,USD
PLD,Prologis,Real Estate,,"San Francisco, California",NYSE,USD
PLTR,Palantir Technologies,Technology,,"Denver, Colorado",NYSE,USD
