symbol,company_name,sector,market_cap,headquarters,exchange
MCHP,Microchip Technology,Technology,,"Chandler, Arizona",NYSE
MCK,McKesson,Healthcare,,"Irving, Texas",NYSE
MCO,Moody's,Financial,,"New York City, New York",NYSE
MDLZ,Mondelez International,Consumer Staples,,"Chicago, Illinois",NYSE
MDT,Medtronic,Healthcare,,"Dublin, Ireland",NYSE
MET,MetLife,Financial,,"New York City, New York",NYSE
META,Meta Platforms,Communication Services,,"Menlo Park, California",NASDAQ
MGM,MGM Resorts,Consumer Discretionary,,"Paradise, Nevada",NYSE
MHK,Mohawk Industries,Consumer Discretionary,,"Calhoun, Georgia",NYSE
MKC,McCormick &,Consumer Staples,,"Hunt Valley, Maryland",NYSE
MLM,Martin Marietta Materials,Materials,,"Raleigh, North Carolina",NYSE
MMC,Marsh McLennan,Financial,,"New York City, New York",NYSE
MMM,3M,Industrial,,"Saint Paul, Minnesota",NYSE
MNST,Monster Beverage,Consumer Staples,,"Corona, California",NYSE
MO,Altria,Consumer Staples,,"Richmond, Virginia",NYSE
MOH,Molina Healthcare,Healthcare,,"Long Beach, California",NYSE
MOS,Mosaic Company (The),Materials,,"Tampa, Florida",NYSE
MPC,Marathon Petroleum,Energy,,"Findlay, Ohio",NYSE
MPWR,Monolithic Power Systems,Technology,,"Kirkland, Washington",NYSE
MRK,Merck &,Healthcare,,"Kenilworth, New Jersey",NYSE
MRNA,Moderna,Healthcare,,"Cambridge, Massachusetts",NYSE
MS,Morgan Stanley,Financial,,"New York City, New York",NYSE
MSCI,MSCI,Financial,,"New York City, New York",NYSE
MSFT,Microsoft,Technology,,"Redmond, Washington",NASDAQ
MSI,Motorola Solutions,Technology,,"Chicago, Illinois",NYSE
MTB,M&T Bank,Financial,,"Buffalo, New York",NYSE
MTCH,Match Group,Communication Services,,"Dallas, Texas",NYSE
MTD,Mettler Toledo,Healthcare,,"Columbus, Ohio",NYSE
MU,Micron Technology,Technology,,"Boise, Idaho",NYSE
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,,"Miami, Florida",NYSE
NDAQ,"Nasdaq,",Financial,,"New York City, New York",NYSE
NDSN,Nordson,Industrial,,"Westlake, Ohio",NYSE
NEE,NextEra Energy,Utilities,,"Juno Beach, Florida",NYSE
NEM,Newmont,Materials,,"Denver, Colorado",NYSE
NFLX,Netflix,Communication Services,,"Los Gatos, California",NYSE
NI,NiSource,Utilities,,"Merrillville, Indiana",NYSE
NKE,"Nike,",Consumer Discretionary,,"Washington County, Oregon",NYSE
NOC,Northrop Grumman,Industrial,,"West Falls Church, Virginia",NYSE
NOW,ServiceNow,Technology,,"Santa Clara, California",NYSE
NRG,NRG Energy,Utilities,,"Houston, Texas",NYSE
NSC,Norfolk Southern,Industrial,,"Atlanta, Georgia",NYSE
NTAP,NetApp,Technology,,"San Jose, California",NYSE
NTRS,Northern Trust,Financial,,"Chicago, Illinois",NYSE
NUE,Nucor,Materials,,"Charlotte, North Carolina",NYSE
NVDA,Nvidia,Technology,,"Santa Clara, California",NASDAQ
NVR,"NVR,",Consumer Discretionary,,"Reston, Virginia",NYSE
NWS,News Corp (Class B),Communication Services,,"New York City, New York",NYSE
NWSA,News Corp (Class A),Communication Services,,"New York City, New York",NYSE
NXPI,NXP Semiconductors,Technology,,"Eindhoven, Netherlands",NYSE
O,Realty Income,Real Estate,,"San Diego, California",NYSE
ODFL,Old Dominion,Industrial,,"Thomasville, North Carolina",NYSE
OKE,Oneok,Energy,,"Tulsa, Oklahoma",NYSE
OMC,Omnicom Group,Communication Services,,"New York City, New York",NYSE
ON,ON Semiconductor,Technology,,"Phoenix, Arizona",NYSE
ORCL,Oracle,Technology,,"Austin, Texas",NYSE
ORLY,O’Reilly Automotive,Consumer Discretionary,,"Springfield, Missouri",NYSE
OTIS,Otis Worldwide,Industrial,,"Farmington, Connecticut",NYSE
OXY,Occidental Petroleum,Energy,,"Houston, Texas",NYSE
PANW,Palo Alto Networks,Technology,,"Santa Clara, California",NYSE
PAYC,Paycom,Industrial,,"Oklahoma City, Oklahoma",NYSE
PAYX,Paychex,Industrial,,"Penfield, New York",NYSE
PCAR,Paccar,Industrial,,"Bellevue, Washington",NYSE
PCG,PG&E,Utilities,,"Oakland, California",NYSE
PEG,Public Service Enterprise Group,Utilities,,"Newark, New Jersey",NYSE
PEP,PepsiCo,Consumer Staples,,"Purchase, New York",NYSE
PFE,Pfizer,Healthcare,,"New York City, New York",NYSE
PFG,Principal Financial Group,Financial,,"Des Moines, Iowa",NYSE
PG,Procter & Gamble,Consumer Staples,,"Cincinnati, Ohio",NYSE
PGR,Progressive,Financial,,"Mayfield Village, Ohio",NYSE
PH,Parker Hannifin,Industrial,,"Cleveland, Ohio",NYSE
PHM,PulteGroup,Consumer Discretionary,,"Atlanta, Georgia",NYSE
PKG,Packaging Corporation of America,Materials,,"Lake Forest, Illinois",NYSE
PLD,Prologis,Real Estate,,"San Francisco, California",NYSE
PLTR,Palantir Technologies,Technology,,"Denver, Colorado",NYSE
PM,Philip Morris International,Consumer Staples,,"New York City, New York",NYSE
PNC,PNC Financial Services,Financial,,"Pittsburgh, Pennsylvania",NYSE
PNR,Pentair,Industrial,,"Worsley, United Kingdom",NYSE
PNW,Pinnacle West Capital,Utilities,,"Phoenix, Arizona",NYSE
PODD,Insulet,Healthcare,,"Acton, Massachusetts",NYSE
POOL,Pool,Consumer Discretionary,,"Covington, Louisiana",NYSE
PPG,PPG Industries,Materials,,"Pittsburgh, Pennsylvania",NYSE
PPL,PPL,Utilities,,"Allentown, Pennsylvania",NYSE
PRU,Prudential Financial,Financial,,"Newark, New Jersey",NYSE
PSA,Public Storage,Real Estate,,"Glendale, California",NYSE
PSKY,Paramount Skydance,Communication Services,,"Los Angeles, California",NYSE
PSX,Phillips 66,Energy,,"Houston, Texas",NYSE
PTC,PTC,Technology,,"Boston, Massachusetts",NYSE
PWR,Quanta Services,Industrial,,"Houston, Texas",NYSE
PYPL,PayPal,Financial,,"San Jose, California",NYSE
QCOM,Qualcomm,Technology,,"San Diego, California",NYSE
RCL,Royal Caribbean Group,Consumer Discretionary,,"Miami, Florida",NYSE
REG,Regency Centers,Real Estate,,"Jacksonville, Florida",NYSE
REGN,Regeneron Pharmaceuticals,Healthcare,,"Tarrytown, New York",NYSE
RF,Regions Financial,Financial,,"Birmingham, Alabama",NYSE
RJF,Raymond James Financial,Financial,,"St. Petersburg, Florida",NYSE
RL,Ralph Lauren,Consumer Discretionary,,"New York City, New York",NYSE
RMD,ResMed,Healthcare,,"San Diego, California",NYSE
ROK,Rockwell Automation,Industrial,,"Milwaukee, Wisconsin",NYSE
ROL,"Rollins,",Industrial,,"Atlanta, Georgia",NYSE
ROP,Roper Technologies,Technology,,"Sarasota, Florida",NYSE
ROST,Ross Stores,Consumer Discretionary,,"Dublin, California",NYSE
RSG,Republic Services,Industrial,,"Phoenix, Arizona",NYSE
RTX,RTX,Industrial,,"Waltham, Massachusetts",NYSE
RVTY,Revvity,Healthcare,,"Waltham, Massachusetts",NYSE
SBAC,SBA Communications,Real Estate,,"Boca Raton, Florida",NYSE
SBUX,Starbucks,Consumer Discretionary,,"Seattle, Washington",NYSE
SCHW,Charles Schwab,Financial,,"Westlake, Texas",NYSE
