symbol,company_name,sector,market_cap,headquarters,exchange,isin
NMDC,NMDC,Metals & Mining,,India,NSE,INE584A01023
NSLNISP,NMDC Steel,Metals & Mining,,India,NSE,INE0NNS01018
NTPC,NTPC,Power,,India,NSE,INE733E01010
NTPCGREEN,NTPC Green Energy,Power,,India,NSE,INE0ONG01011
NUVAMA,Nuvama Wealth Management,Financial Services,,India,NSE,INE531F01015
NUVOCO,Nuvoco Vistas Corporation,Construction Materials,,India,NSE,INE118D01016
NYKAA,FSN E-Commerce Ventures,Consumer Services,,India,NSE,INE388Y01029
OBEROIRLTY,Oberoi Realty,Realty,,India,NSE,INE093I01010
OFSS,Oracle Financial Services Software,Information Technology,,India,NSE,INE881D01027
OIL,Oil India,Oil Gas & Consumable Fuels,,India,NSE,INE274J01014
OLAELEC,Ola Electric Mobility,Automobile and Auto Components,,India,NSE,INE0LXG01040
OLECTRA,Olectra Greentech,Automobile and Auto Components,,India,NSE,INE260D01016
ONESOURCE,Onesource Specialty Pharma,Healthcare,,India,NSE,INE013P01021
ONGC,Oil & Natural Gas Corporation,Oil Gas & Consumable Fuels,,India,NSE,INE213A01029
PAGEIND,Page Industries,Textiles,,India,NSE,INE761H01022
PATANJALI,Patanjali Foods,Fast Moving Consumer Goods,,India,NSE,INE619A01035
PAYTM,One 97 Communications,Financial Services,,India,NSE,INE982J01020
PCBL,PCBL Chemical,Chemicals,,India,NSE,INE602A01031
PERSISTENT,Persistent Systems,Information Technology,,India,NSE,INE262H01021
PETRONET,Petronet LNG,Oil Gas & Consumable Fuels,,India,NSE,INE347G01014
PFC,Power Finance Corporation,Financial Services,,India,NSE,INE134E01011
PFIZER,Pfizer,Healthcare,,India,NSE,INE182A01018
PGEL,PG Electroplast,Consumer Durables,,India,NSE,INE457L01029
PGHH,Procter & Gamble Hygiene & Health Care,Fast Moving Consumer Goods,,India,NSE,INE179A01014
PHOENIXLTD,Phoenix Mills,Realty,,India,NSE,INE211B01039
PIDILITIND,Pidilite Industries,Chemicals,,India,NSE,INE318A01026
PIIND,PI Industries,Chemicals,,India,NSE,INE603J01030
PNB,Punjab National Bank,Financial Services,,India,NSE,INE160A01022
PNBHOUSING,PNB Housing Finance,Financial Services,,India,NSE,INE572E01012
POLICYBZR,PB Fintech,Financial Services,,India,NSE,INE417T01026
POLYCAB,Polycab India,Capital Goods,,India,NSE,INE455K01017
POLYMED,Poly Medicure,Healthcare,,India,NSE,INE205C01021
POONAWALLA,Poonawalla Fincorp,Financial Services,,India,NSE,INE511C01022
POWERGRID,Power Grid Corporation of India,Power,,India,NSE,INE752E01010
POWERINDIA,Hitachi Energy India,Capital Goods,,India,NSE,INE07Y701011
PPLPHARMA,Piramal Pharma,Healthcare,,India,NSE,INE0DK501011
PRAJIND,Praj Industries,Capital Goods,,India,NSE,INE074A01025
PREMIERENE,Premier Energies,Capital Goods,,India,NSE,INE0BS701011
PRESTIGE,Prestige Estates Projects,Realty,,India,NSE,INE811K01011
PTCIL,PTC Industries,Capital Goods,,India,NSE,INE596F01018
PVRINOX,PVR INOX,Media Entertainment & Publication,,India,NSE,INE191H01014
RADICO,Radico Khaitan,Fast Moving Consumer Goods,,India,NSE,INE944F01028
RAILTEL,Railtel Corporation Of India,Telecommunication,,India,NSE,INE0DD101019
RAINBOW,Rainbow Childrens Medicare,Healthcare,,India,NSE,INE961O01016
RAMCOCEM,The Ramco Cements,Construction Materials,,India,NSE,INE331A01037
RBLBANK,RBL Bank,Financial Services,,India,NSE,INE976G01028
RCF,Rashtriya Chemicals & Fertilizers,Chemicals,,India,NSE,INE027A01015
RECLTD,REC,Financial Services,,India,NSE,INE020B01018
REDINGTON,Redington,Services,,India,NSE,INE891D01026
RELIANCE,Reliance Industries,Oil Gas & Consumable Fuels,,India,NSE,INE002A01018
RELINFRA,Reliance Infrastructure,Power,,India,NSE,INE036A01016
RHIM,RHI MAGNESITA INDIA,Capital Goods,,India,NSE,INE743M01012
RITES,RITES,Construction,,India,NSE,INE320J01015
RKFORGE,Ramkrishna Forgings,Automobile and Auto Components,,India,NSE,INE399G01023
RPOWER,Reliance Power,Power,,India,NSE,INE614G01033
RRKABEL,R R Kabel,Capital Goods,,India,NSE,INE777K01022
RVNL,Rail Vikas Nigam,Construction,,India,NSE,INE415G01027
SAGILITY,Sagility,Information Technology,,India,NSE,INE0W2G01015
SAIL,Steel Authority of India,Metals & Mining,,India,NSE,INE114A01011
SAILIFE,Sai Life Sciences,Healthcare,,India,NSE,INE570L01029
SAMMAANCAP,Sammaan Capital,Financial Services,,India,NSE,INE148I01020
SAPPHIRE,Sapphire Foods India,Consumer Services,,India,NSE,INE806T01020
SARDAEN,Sarda Energy and Minerals,Metals & Mining,,India,NSE,INE385C01021
SAREGAMA,Saregama India,Media Entertainment & Publication,,India,NSE,INE979A01025
SBFC,SBFC Finance,Financial Services,,India,NSE,INE423Y01016
SBICARD,SBI Cards and Payment Services,Financial Services,,India,NSE,INE018E01016
SBILIFE,SBI Life Insurance Company,Financial Services,,India,NSE,INE536L01010
SBIN,State Bank of India,Financial Services,,India,NSE,INE062A01020
SCHAEFFLER,Schaeffler India,Automobile and Auto Components,,India,NSE,INE513A01022
SCHNEIDER,Schneider Electric Infrastructure,Capital Goods,,India,NSE,INE839M01018
SCI,Shipping Corporation of India,Services,,India,NSE,INE109A01011
SHREECEM,Shree Cement,Construction Materials,,India,NSE,INE070A01015
SHRIRAMFIN,Shriram Finance,Financial Services,,India,NSE,INE721A01047
SHYAMMETL,Shyam Metalics and Energy,Capital Goods,,India,NSE,INE810G01011
SIEMENS,Siemens,Capital Goods,,India,NSE,INE303A01024
SIGNATURE,Signatureglobal (India),Realty,,India,NSE,INE903U01023
SJVN,SJVN,Power,,India,NSE,INE002L01015
SKFINDIA,SKF India,Capital Goods,,India,NSE,INE640A01023
SOBHA,Sobha,Realty,,India,NSE,INE671H01015
SOLARINDS,Solar Industries India,Chemicals,,India,NSE,INE343H01029
SONACOMS,Sona BLW Precision Forgings,Automobile and Auto Components,,India,NSE,INE073K01018
SONATSOFTW,Sonata Software,Information Technology,,India,NSE,INE269A01021
SRF,SRF,Chemicals,,India,NSE,INE647A01010
STARHEALTH,Star Health and Allied Insurance Company,Financial Services,,India,NSE,INE575P01011
SUMICHEM,Sumitomo Chemical India,Chemicals,,India,NSE,INE258G01013
SUNDARMFIN,Sundaram Finance,Financial Services,,India,NSE,INE660A01013
SUNDRMFAST,Sundram Fasteners,Automobile and Auto Components,,India,NSE,INE387A01021
SUNPHARMA,Sun Pharmaceutical Industries,Healthcare,,India,NSE,INE044A01036
SUNTV,Sun TV Network,Media Entertainment & Publication,,India,NSE,INE424H01027
