date,open,high,low,close,volume,adjusted_close,currency
2021-11-30,113.26986078681426,113.93143226230188,111.2145771211347,111.55859375,1724500,111.55859375,USD
2021-12-01,112.41423763036347,113.36690225804372,111.54095835672976,111.6291732788086,858700,111.6291732788086,USD
2021-12-02,112.45833167862207,113.8785124274221,112.12313787614428,112.77588653564452,1008200,112.77588653564452,USD
2021-12-03,113.75502786892837,114.46952298411578,113.3316123890556,113.57859802246094,1494700,113.57859802246094,USD
2021-12-06,114.61946155810128,116.60417591596055,114.23133748567814,115.53683471679688,875900,115.53683471679688,USD
2021-12-07,115.06935616414349,116.1719755475862,114.24018423424104,114.8664779663086,563100,114.8664779663086,USD
2021-12-08,114.82235294407371,115.84558680579867,112.97877684714824,114.5665512084961,664200,114.5665512084961,USD
2021-12-09,114.44306062789413,115.82794338974008,114.26663078230726,115.17520141601562,589100,115.17520141601562,USD
2021-12-10,115.60743223296704,117.44219245887498,115.58097044516572,117.21285247802734,616900,117.21285247802734,USD
2021-12-13,117.15109011372468,119.1710961549791,116.2954564829291,118.7476806640625,574300,118.7476806640625,USD
2021-12-14,119.13579867555517,120.02672361464116,118.1831340595356,119.24164581298828,884400,119.24164581298828,USD
2021-12-15,119.39160428372746,120.07080797399418,118.26252337607986,118.84469604492188,750600,118.84469604492188,USD
2021-12-16,118.99467184072408,122.84060857406637,118.765331867254,122.5318832397461,837000,122.5318832397461,USD
2021-12-17,122.24076717770852,123.37866418209168,120.10609818628242,120.32662200927734,1345000,120.32662200927734,USD
2021-12-20,118.84470140183558,119.6033039327027,118.24488303123246,119.11814880371094,882800,119.11814880371094,USD
2021-12-21,118.11256836625624,118.20078328990786,115.38689681773668,116.33956146240234,757200,116.33956146240234,USD
2021-12-22,116.436581073119,117.51273842951068,115.8896862873058,117.44216918945312,677000,117.44216918945312,USD
2021-12-23,117.69800147863644,118.07730956000506,117.28342895763876,117.30989074707033,355500,117.30989074707033,USD
2021-12-27,117.14226339116206,118.13020586103733,117.07169414907004,118.06846618652344,380800,118.06846618652344,USD
2021-12-28,117.7068095802949,119.32104573975636,117.50393141175162,119.25929260253906,558700,119.25929260253906,USD
2021-12-29,119.30339045533988,119.61212919714748,118.7476661039687,119.17108154296876,415100,119.17108154296876,USD
2021-12-30,119.64740563426224,119.788544112215,119.02994161785152,119.38277435302734,326700,119.38277435302734,USD
2021-12-31,119.4886432524887,120.02672195986732,118.72121113755745,119.8061981201172,445200,119.8061981201172,USD
2022-01-03,119.4092433169342,120.79413947818998,117.87440602093142,120.67064666748048,735200,120.67064666748048,USD
2022-01-04,120.67062891340385,123.21105399704584,120.44127554175424,122.23194122314452,774400,122.23194122314452,USD
2022-01-05,122.45249206025144,125.3193021610919,122.45249206025144,124.38426971435548,909200,124.38426971435548,USD
2022-01-06,124.3313156432492,125.89262791465032,124.08433006423378,124.69297790527344,753800,124.69297790527344,USD
2022-01-07,125.31931361693104,126.73065833515098,124.58717273985486,126.44839477539062,747700,126.44839477539062,USD
2022-01-10,126.7835750866765,127.80680903760944,125.80444860012504,126.38663482666016,862500,126.38663482666016,USD
2022-01-11,126.78356633210844,126.78356633210844,123.02584482520962,125.35457611083984,536500,125.35457611083984,USD
2022-01-12,124.38425745387715,126.0602466542228,123.6962241742711,124.2254867553711,678600,124.2254867553711,USD
2022-01-13,124.46366495048215,127.12758333809752,124.19020407334526,126.13964080810548,566400,126.13964080810548,USD
2022-01-14,125.91912439356427,128.33607075106184,125.56629160051293,128.03614807128906,675300,128.03614807128906,USD
2022-01-18,127.43632194091008,128.62715610008607,126.01614782606124,128.2125701904297,779200,128.2125701904297,USD
2022-01-19,128.1507979198464,128.574199874686,126.26311460737578,126.4924545288086,911500,126.4924545288086,USD
2022-01-20,126.64244601497865,126.64244601497865,124.3754543230407,124.49894714355467,815800,124.49894714355467,USD
